date,ticker,atm_iv,atm_hv,spot
2026-04-20,AAPL,0.355394,0.223686,273.049988
2026-04-21,AAPL,0.33529,0.245111,266.170013
2026-04-20,ABEV,0.991444,0.28394,3.07
2026-04-21,ABEV,1.123049,0.266762,3.07
2026-04-20,AMZN,0.535573,0.349657,248.279999
2026-04-21,AMZN,0.522404,0.346104,249.910004
2026-04-20,BAC,0.252392,0.222837,53.950001
2026-04-21,BAC,0.259948,0.229446,53.48
2026-04-20,BBD,0.435318,0.352416,4.19
2026-04-21,BBD,0.609431,0.343505,4.07
2026-04-20,BP,0.383477,0.358854,45.119999
2026-04-21,BP,0.380261,0.347912,45.91
2026-04-20,BRK-B,0.199003,0.109641,472.079987
2026-04-21,BRK-B,0.201978,0.112149,468.5
2026-04-20,BRL=X,,0.092592,4.9741
2026-04-21,BRL=X,,0.092377,4.9761
2026-04-20,BZ=F,,1.087768,94.279999
2026-04-21,BZ=F,,1.021544,93.860001
2026-04-20,C,0.335469,0.363029,133.050003
2026-04-21,C,0.354695,0.367938,131.679993
2026-04-20,CL=F,,1.089165,85.889999
2026-04-21,CL=F,,1.044385,90.220001
2026-04-20,COP,0.368176,0.353613,116.449997
2026-04-21,COP,0.396267,0.376249,120.260002
2026-04-20,CVX,0.316813,0.309325,183.25
2026-04-21,CVX,0.336258,0.307252,185.979996
2026-04-20,EWZ,0.304538,0.281045,41.299999
2026-04-21,EWZ,0.366311,0.243101,40.790001
2026-04-20,GC=F,,0.326118,4841.0
2026-04-21,GC=F,,0.301325,4738.5
2026-04-20,GLD,0.269487,0.304088,442.089996
2026-04-21,GLD,0.265278,0.311431,429.570007
2026-04-20,GOOGL,0.394064,0.371472,337.420013
2026-04-21,GOOGL,0.409074,0.378892,332.290009
2026-04-20,GS,0.334458,0.312166,941.73999
2026-04-21,GS,0.345374,0.318083,926.549988
2026-04-20,HG=F,,0.212648,6.0455
2026-04-21,HG=F,,0.211827,6.017
2026-04-20,ITUB,0.632227,0.361751,9.28
2026-04-21,ITUB,0.628364,0.358626,9.09
2026-04-20,JPM,0.24264,0.249642,316.98999
2026-04-21,JPM,0.27101,0.255964,313.0
2026-04-20,META,0.465521,0.527872,670.909973
2026-04-21,META,0.483149,0.527083,668.840027
2026-04-20,MS,0.285771,0.306981,190.699997
2026-04-21,MS,0.312511,0.309764,189.309998
2026-04-20,MSFT,0.427864,0.301017,418.070007
2026-04-21,MSFT,0.437727,0.302984,424.160004
2026-04-20,NVDA,0.368319,0.328061,202.059998
2026-04-21,NVDA,0.349596,0.33267,199.880005
2026-04-20,PBR,0.433731,0.45403,20.76
2026-04-21,PBR,0.420248,0.451028,21.15
2026-04-20,QQQ,0.191473,0.221419,646.789978
2026-04-21,QQQ,0.208815,0.22288,644.330017
2026-04-20,SBS,0.487798,0.353586,35.34
2026-04-21,SBS,0.486822,0.33492,35.41
2026-04-20,SHEL,0.300457,0.222027,88.0
2026-04-21,SHEL,0.330345,0.223759,88.660004
2026-04-20,SI=F,,0.504705,79.870003
2026-04-21,SI=F,,0.532122,76.665001
2026-04-20,SLB,0.442196,0.343485,52.200001
2026-04-21,SLB,0.445017,0.291882,52.77
2026-04-20,SLV,0.517659,0.497699,72.150002
2026-04-21,SLV,0.485517,0.540157,68.489998
2026-04-20,SPY,0.154707,0.178927,708.719971
2026-04-21,SPY,0.170936,0.18152,704.080017
2026-04-20,SVIX,0.584376,0.689654,18.719999
2026-04-21,SVIX,0.644571,0.679819,18.370001
2026-04-20,TSLA,0.482215,0.492302,392.5
2026-04-21,TSLA,0.497566,0.482176,386.420013
2026-04-20,UNG,0.477565,0.361426,10.85
2026-04-21,UNG,0.512535,0.317088,10.95
2026-04-20,USO,0.725752,0.827157,121.32
2026-04-21,USO,0.884319,0.770625,128.25
2026-04-20,UVXY,1.012977,1.07413,38.799999
2026-04-21,UVXY,1.041691,1.056213,39.849998
2026-04-20,VALE,0.403138,0.289282,17.82
2026-04-21,VALE,0.443997,0.271862,17.450001
2026-04-20,VXX,0.60383,0.689495,29.33
2026-04-21,VXX,0.695856,0.682761,29.889999
2026-04-20,WFC,0.281848,0.334693,81.970001
2026-04-21,WFC,0.305012,0.335022,81.550003
2026-04-20,XLE,0.346598,0.26829,55.07
2026-04-21,XLE,0.358098,0.274208,55.869999
2026-04-20,XLF,0.209784,0.175756,52.630001
2026-04-21,XLF,0.298305,0.179134,52.299999
2026-04-20,XOM,0.349557,0.367306,147.679993
2026-04-21,XOM,0.365857,0.365534,148.360001
2026-04-20,^VIX,0.489954,1.260614,18.870001
2026-04-21,^VIX,0.665337,1.272835,19.5
